Work,Date
Maintenance of broken water tank and warning sign board for cautioning passing by about the danger. ,2018-03-12 00:00:00
To plug the additional hole on wall done fitting of A.C.,2019-03-26 00:00:00
Request for Institute athletic ground re-shaped and also all the lights re-fixed. ,2019-03-27 00:00:00
Request for classroom SEW open ,2019-03-30 00:00:00
Regarding sweeping and cleaning around MP Hall for Culrav 2019.,2019-03-30 00:00:00
"Request for sweepers to clean MP hall, toilet and Gym. ",2019-04-02 00:00:00
"Request to allot SEW -7,8 for Culrav 2018 on date 03 to 06 April 2019",2019-04-02 00:00:00
Request for 02 sweeper and 06 dustbin during Rukhsat -2019 event,2019-04-09 00:00:00
Request for shed in front of the Gymkhana and mason work for the place the water coolers  & urinal sheet to be fixed Boy’s washroom,2019-04-25 00:00:00
Proposal to create new partition in Control lab of EED,15-05-2019 
New partition work in Control Lab of EED.,2019-05-18 00:00:00
Water leakage problem from tap installed in HMT Laboratory ,2019-05-24 00:00:00
Construction of toilets in SVBH hostel for mess workers,2019-05-27 00:00:00
Request for cleaning/maintenance of Seminar hall and surrounding area for Inauguration of LPADIP-2019,2019-06-06 00:00:00
